Entity Name,Lot Address,Lot Address2,Lot City,Lot State,Lot Zip,Number of Spaces,Location
  Taco Bell  ,  1100 ROCKVILLE PIKE  ,nan,Rockville,  Maryland  ,20852,45 and Above,"1100 ROCKVILLE PIKE Rockville  20852 (39.071678, -77.132681)"
7272 Cork LLC,4937 BETHESDA AVE,nan,Bethesda,Maryland,20814,Less Than 45,"  4937 BETHESDA AVE Bethesda@  20814 (38.980791, -77.099834)  "
Jemal's Shops of Chevy Chase LLC,-,nan,Bethesda,  Maryland  ,20815,  45 and Above  ,"6831 WISCONSIN AVE Bethesda  20815 (38.978198, -77.091125)"
"  IBX 801 Thompson Realty, LLC  ",801 THOMPSON AVE,nan,Rockville,  M@ryland  ,20852,  45 @nd Above  ,"  801 THOMPSON AVE Rockville  20852 (39.059731, -77.120988)  "
  Jemal's 7979 LLC  ,7979 OLD GEORGETOWN RD,N/A,  Bethesda  ,Maryland,20814,45 and Above,"  7979 OLD GEORGETOWN RD Bethesda@  20814 (38.989064, -77.101401)  "
"Nikkhah Real Estate, LLC.",NULL,nan,Olney,  Maryland  ,20832,  Less Than 45  ,"17902 GEORGIA AVE Olney  20832 (39.149693, -77.066905)"
"Tafida and Associates, inc.",  621 HUNGERFORD DR  ,nan,  Rockville  ,Maryland,20850,45 and Above,"621 HUNGERFORD DR Rockville  20850 (39.092184, -77.153249)"
Quince Diamond Exec Centre Gaithersburg MD LLC,NULL,  nan  ,G@ithersburg,  M@ryland  ,20878,45 and Above,N/A
AUTOZONE INC,824 ROCKVILLE PIKE,NULL,  ROCKVILLE  ,Maryland,20852,NULL,"  824 ROCKVILLE PIKE ROCKVILLE  20852 (39.076353, -77.138236)  "
"Cloppers Mill Village Centre, LLC",18066 MATENY RD,  nan  , ,Maryland,20874,45 and Above,"18066 MATENY RD Germantown  20874 (39.146999, -77.272673)"
  Little Round Top Gettysburg LLC  ,2700 GARFIELD AVE,nan,Silver Spring,Maryland,NULL,Less Than 45,"  2700 GARFIELD AVE Silver Spring  20910 (39.001724, -77.055531)  "
John Garza,17 W JEFFERSON ST,  nan  ,Rockville,Maryland,20850,45 and Above,"17 W JEFFERSON ST Rockville  20850 (39.083151, -77.15361)"
